iter	TotalF1:average=Micro	MultiClass
188	0.9282278237	0.3978058912
189	0.9291899173	0.3966635461
190	0.9305368482	0.3948434606
191	0.9299595921	0.3932911688
192	0.931306523	0.3912095611
193	0.9322686165	0.3894433584
194	0.9326534539	0.3882808131
195	0.9322686165	0.3875100813
196	0.9334231287	0.38571029
197	0.9336155474	0.3846856463
198	0.9341928035	0.3831431727
199	0.9338079661	0.3821472086
200	0.9349624784	0.3807035046
201	0.9349624784	0.3794266402
202	0.9359245719	0.3776449116
203	0.9361169906	0.3767708534
204	0.9374639215	0.3749360405
205	0.9386184337	0.3738579367
206	0.9391956898	0.3722481213
207	0.9395805272	0.3711920263
208	0.9411198769	0.3694638518
209	0.9428516452	0.3676915656
210	0.94362132	0.3664966765
211	0.9434289013	0.3656095116
212	0.9441985761	0.3638736093
213	0.9438137387	0.362552187
214	0.9453530883	0.3607681095
215	0.9459303444	0.3591427446
216	0.9467000192	0.3578845302
217	0.9474696941	0.3564798642
218	0.9482393689	0.3555275655
219	0.9482393689	0.3535641525
220	0.9492014624	0.3520410805
221	0.9501635559	0.3508951416
222	0.9501635559	0.3498685718
223	0.9503559746	0.3490402694
224	0.9505483933	0.3486179677
225	0.9499711372	0.3474062842
226	0.9513180681	0.3462324174
227	0.952664999	0.3453414239
228	0.9530498364	0.3442607129
229	0.9532422551	0.3433228831
230	0.9530498364	0.3425487689
231	0.9536270926	0.3409801055
232	0.9542043487	0.3397717104
233	0.9542043487	0.3390386074
234	0.9545891861	0.3380087727
235	0.9549740235	0.3371553845
236	0.9547816048	0.3363691032
237	0.9555512796	0.3353864102
238	0.9547816048	0.3342221267
239	0.955936117	0.3328893829
240	0.9570906292	0.3312591793
241	0.9572830479	0.3305229053
242	0.9568982105	0.3298502385
243	0.9570906292	0.3288370572
244	0.9570906292	0.3278577936
245	0.9576678853	0.3270832801
246	0.9576678853	0.3258690598
247	0.957860304	0.3249742377
248	0.9580527227	0.3233888974
249	0.9586299788	0.3226729175
250	0.9601693285	0.3211416715
251	0.9599769098	0.3206014334
252	0.9595920723	0.3194654067
253	0.9609390033	0.3186729949
