iter	Passed	Remaining
919	67756	5891
920	67848	5819
921	67947	5748
922	68008	5673
923	68069	5598
924	68138	5524
925	68195	5449
926	68265	5375
927	68325	5301
928	68389	5226
929	68457	5152
930	68525	5078
931	68588	5004
932	68653	4930
933	68731	4856
934	68826	4784
935	68905	4711
936	68988	4638
937	69074	4565
938	69160	4492
939	69242	4419
940	69316	4346
941	69396	4272
942	69484	4200
943	69569	4127
944	69660	4054
945	69746	3981
946	69811	3907
947	69880	3833
948	69956	3759
949	70015	3685
950	70081	3610
951	70151	3537
952	70209	3462
953	70277	3388
954	70345	3314
955	70425	3241
956	70495	3167
957	70557	3093
958	70626	3019
959	70696	2945
960	70782	2872
961	70871	2799
962	70986	2727
963	71055	2653
964	71122	2579
965	71195	2505
966	71261	2431
967	71346	2358
968	71452	2285
969	71551	2212
970	71628	2139
971	71699	2065
972	71766	1991
973	71827	1917
974	71886	1843
975	71946	1769
976	72011	1695
977	72069	1621
978	72140	1547
979	72203	1473
980	72262	1399
981	72351	1326
982	72453	1253
983	72541	1179
984	72626	1105
985	72711	1032
986	72792	958
987	72856	884
988	72935	811
989	73025	737
990	73095	663
991	73183	590
992	73266	516
993	73325	442
994	73385	368
995	73480	295
996	73579	221
997	73682	147
998	73761	73
999	73824	0
